category_id,category_name,parent_category,url
,Plomberie de salle de bain et WC,"Chauffage, plomberie et accessoire de salle de bain",https://www.bricodepot.fr/produits/salle-de-bain-et-wc/chauffage-plomberie-et-accessoire-de-salle-de-bain/plomberie-de-salle-de-bain-et-wc
,Luminaire de salle de bain,"Chauffage, plomberie et accessoire de salle de bain",https://www.bricodepot.fr/produits/salle-de-bain-et-wc/chauffage-plomberie-et-accessoire-de-salle-de-bain/luminaire-de-salle-de-bain
,Douche,"Douche, baignoire et wc",https://www.bricodepot.fr/produits/salle-de-bain-et-wc/douche-baignoire-et-wc/douche
,Baignoire et balnéo,"Douche, baignoire et wc",https://www.bricodepot.fr/produits/salle-de-bain-et-wc/douche-baignoire-et-wc/baignoire-et-balneo
,"WC, broyeur et accessoire","Douche, baignoire et wc",https://www.bricodepot.fr/produits/salle-de-bain-et-wc/douche-baignoire-et-wc/wc-broyeur-et-accessoire
,Meuble et rangement de salle de bain,Meuble et vasque de salle de bain,https://www.bricodepot.fr/produits/salle-de-bain-et-wc/meuble-et-vasque-de-salle-de-bain/meuble-et-rangement-de-salle-de-bain
,Lavabo et vasque,Meuble et vasque de salle de bain,https://www.bricodepot.fr/produits/salle-de-bain-et-wc/meuble-et-vasque-de-salle-de-bain/lavabo-et-vasque
,Miroir de salle de bain,Meuble et vasque de salle de bain,https://www.bricodepot.fr/produits/salle-de-bain-et-wc/meuble-et-vasque-de-salle-de-bain/miroir-de-salle-de-bain
,Robinetterie de salle de bain,Meuble et vasque de salle de bain,https://www.bricodepot.fr/produits/salle-de-bain-et-wc/meuble-et-vasque-de-salle-de-bain/robinetterie-de-salle-de-bain
,Accessoire de salle de bain,Meuble et vasque de salle de bain,https://www.bricodepot.fr/produits/salle-de-bain-et-wc/meuble-et-vasque-de-salle-de-bain/accessoire-de-salle-de-bain
,Kit dressing,Dressing et aménagement placard,https://www.bricodepot.fr/produits/dressing-et-rangement/dressing-et-amenagement-placard/kit-dressing
,"Dressing modulable, à composer",Dressing et aménagement placard,https://www.bricodepot.fr/produits/dressing-et-rangement/dressing-et-amenagement-placard/dressing-modulable-a-composer
,Aménagement dressing et accessoire,Dressing et aménagement placard,https://www.bricodepot.fr/produits/dressing-et-rangement/dressing-et-amenagement-placard/amenagement-dressing-et-accessoire
,placard encastré,Dressing et aménagement placard,https://www.bricodepot.fr/produits/dressing-et-rangement/dressing-et-amenagement-placard/placard-encastre
,Abri et rangement,Aménager le jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/amenager-le-jardin/abri-et-rangement
,"Portail, portillon et clôture",Aménager le jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/amenager-le-jardin/portail-portillon-et-cloture
,"Terrasse, allée, revêtement",Aménager le jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/amenager-le-jardin/terrasse-allee-revetement
